"station" "ian" "mo" "jo" "jul" "min.temp" "max.temp" "solar.rad" "PET" "precip." "windspeed" "vapour.pressure" "CO2" "GDD"
"1" "SUMMERSIDE" 2001 1 1 1 -6 0.6 4.05833094455728 -999.9 0 3.90046296296297 4.51956324352933 330 0
"2" "SUMMERSIDE" 2001 1 2 2 -10.6 -1.3 4.84422295540966 -999.9 0 1.40046296296296 3.52497629715864 330 0
"3" "SUMMERSIDE" 2001 1 3 3 -13.1 -5.6 4.37625319311599 -999.9 0 2.30324074074074 2.61065470434337 330 0
"4" "SUMMERSIDE" 2001 1 4 4 -11.3 -1.5 5.0344565427448 -999.9 2 2.98611111111111 3.36164455584339 330 0
"5" "SUMMERSIDE" 2001 1 5 5 -16.2 -4.7 5.49074413684608 -999.9 0 1.62037037037037 2.37155810600518 330 0
"6" "SUMMERSIDE" 2001 1 6 6 -16.2 -1.7 6.20983692852204 -999.9 17.7 2.67361111111111 2.80802677754754 330 0
"7" "SUMMERSIDE" 2001 1 7 7 -3 -1 2.3237655551954 -999.9 3.2 8.91203703703703 4.78877967153338 330 0
"8" "SUMMERSIDE" 2001 1 8 8 -9.2 -2.9 4.15711254414282 -999.9 0 2.32638888888889 3.51113576932236 330 0
"9" "SUMMERSIDE" 2001 1 9 9 -9.8 -2.4 4.54297515592718 -999.9 9.6 0.289351851851853 3.46406090232728 330 0
"10" "SUMMERSIDE" 2001 1 10 10 -11.8 -3.5 4.8531188760097 -999.9 0.7 3.07870370370369 3.12020166662555 330 0
"11" "SUMMERSIDE" 2001 1 11 11 -14.8 -7.2 4.68593127355241 -999.9 0 2.37268518518519 2.33671406478366 330 0
"12" "SUMMERSIDE" 2001 1 12 12 -15.5 -5.5 5.42552249520521 -999.9 0.7 4.32870370370369 2.37501518779236 330 0
"13" "SUMMERSIDE" 2001 1 13 13 -16.2 -5.6 5.64010815954481 -999.9 0 2.97453703703703 2.20693106242807 330 0
"14" "SUMMERSIDE" 2001 1 14 14 -15.3 -1.6 6.47624667976544 -999.9 0 4.71064814814814 2.70549731835336 330 0
"15" "SUMMERSIDE" 2001 1 15 15 -16.4 -7.3 5.33265123892081 -999.9 0 1.48148148148148 2.0826895622363 330 0
"16" "SUMMERSIDE" 2001 1 16 16 -8.7 -1.7 4.72668588718164 -999.9 15.7 1.99074074074074 3.81753935858732 330 0
"17" "SUMMERSIDE" 2001 1 17 17 -10 -4.8 4.11827651681662 -999.9 3 1.76328502415459 3.20356294092423 330 0
"18" "SUMMERSIDE" 2001 1 18 18 -14.7 -7.4 4.93397829495128 -999.9 0 2.59259259259259 2.29618805418519 330 0
"19" "SUMMERSIDE" 2001 1 19 19 -12.6 -1.4 6.18126872015893 -999.9 9.2 4.03935185185186 3.30415227804951 330 0
"20" "SUMMERSIDE" 2001 1 20 20 -14.4 -1.4 6.73719156903155 -999.9 0 2.80092592592592 2.7867337842217 330 0
"21" "SUMMERSIDE" 2001 1 21 21 -15.8 -5.9 5.9492770056822 -999.9 0 3.22463768115942 2.38665584798746 330 0
"22" "SUMMERSIDE" 2001 1 22 22 -16.5 -8.8 5.31039802593019 -999.9 0 3.72685185185186 1.85991827187463 330 0
"23" "SUMMERSIDE" 2001 1 23 23 -16.5 -1.2 7.5779771240062 -999.9 0 4.27083333333333 2.6562405131149 330 0
"24" "SUMMERSIDE" 2001 1 24 24 -9.2 -0.2 5.88491874685605 -999.9 0 1.11111111111111 3.8221558901783 330 0
"25" "SUMMERSIDE" 2001 1 25 25 -13.7 -3.5 6.34471025672155 -999.9 0 0.821256038647342 2.56001409580969 330 0
"26" "SUMMERSIDE" 2001 1 26 26 -13.9 -3.3 6.5513847052412 -999.9 0 1.5162037037037 2.63093973463767 330 0
"27" "SUMMERSIDE" 2001 1 27 27 -14.7 -3.9 6.6993343573722 -999.9 0 0.219907407407407 2.69965550058877 330 0
"28" "SUMMERSIDE" 2001 1 28 28 -7.7 -2.7 4.61860439264137 -999.9 1.5 2.96296296296297 3.79841689367636 330 0
"29" "SUMMERSIDE" 2001 1 29 29 -14.6 -5.3 6.38314789500831 -999.9 0 2.30324074074074 2.46132434929004 330 0
"30" "SUMMERSIDE" 2001 1 30 30 -8.9 -1 5.96254556398498 -999.9 5.1 3.13657407407408 3.35341736577631 330 0
"31" "SUMMERSIDE" 2001 1 31 31 -11.7 -3.2 6.26909539827691 -999.9 1.2 5.61342592592592 3.09162589530025 330 0
